ID,Sampling site,Sampling time,C3mean,C3sd,C35,C325,C350,C375,C395,C4mean,C4sd,C45,C425,C450,C475,C495,Soilmean,Soilsd,Soil5,Soil25,Soil50,Soil75,Soil95,Planktonmean,Planktonsd,Plankton5,Plankton25,Plankton50,Plankton75,Plankton95
312,XJB3,Nov-22,0.115526266,0.070493177,0.02231988,0.061443645,0.102648387,0.159482426,0.249952823,0.068743014,0.044159632,0.014860544,0.035571019,0.059646377,0.092259528,0.153566242,0.105191283,0.081605779,0.017875535,0.047643523,0.084983086,0.141033563,0.253004421,0.710539438,0.097730981,0.553911004,0.652326783,0.714170116,0.776386323,0.862821067
313,XJB2,Nov-22,0.231698749,0.111071363,0.055467604,0.148063082,0.229380833,0.30900044,0.41990185,0.079993339,0.054545617,0.016690099,0.039697721,0.067836546,0.106341209,0.191670352,0.109822636,0.086472558,0.019713964,0.049647217,0.088611084,0.146092607,0.268481354,0.578485276,0.107925197,0.408048336,0.508481008,0.578251829,0.650646346,0.753440627
314,XJB1,Nov-22,0.061810517,0.040441847,0.012374509,0.030689043,0.053507965,0.084095668,0.1414444,0.053694995,0.03579115,0.011401894,0.027094941,0.045408771,0.07207997,0.122492024,0.090889223,0.077619991,0.014400263,0.036691458,0.069193697,0.123985036,0.230793111,0.793605266,0.087921012,0.646597145,0.745386964,0.803371391,0.856453904,0.914708227
315,MD,Oct-22,0.102429967,0.063329193,0.02224214,0.053745395,0.089181881,0.139968357,0.225981652,0.077622774,0.048744611,0.016643775,0.041057438,0.067893043,0.104090694,0.17301636,0.134814595,0.107220318,0.021239506,0.057873776,0.108866614,0.183258986,0.330792547,0.685132664,0.112166074,0.499586929,0.621022047,0.695639912,0.759832508,0.845573873
316,FL,Oct-22,0.028663779,0.020484615,0.005752777,0.013623736,0.023619109,0.038284281,0.070083762,0.02677133,0.018839896,0.005236281,0.012747691,0.022198104,0.036204615,0.063994858,0.040269492,0.033873093,0.006307086,0.016713537,0.030731399,0.053834022,0.103745188,0.9042954,0.044817685,0.825221263,0.878287832,0.910295372,0.937155113,0.965211483
317,ZX,Oct-22,0.04698798,0.032217461,0.009398851,0.022886749,0.039821601,0.062864711,0.109736597,0.044540874,0.030634302,0.009074703,0.021466899,0.037523284,0.060781022,0.103713669,0.077094071,0.073738398,0.011703415,0.030819258,0.057958535,0.10199308,0.196616488,0.831377076,0.083180443,0.703228988,0.793171868,0.839859478,0.885836047,0.935043826
318,WZ,Oct-22,0.113694287,0.070593427,0.02204981,0.058345562,0.101214703,0.157272404,0.24945557,0.073932963,0.047064373,0.015864995,0.037659789,0.064615278,0.099632102,0.165792926,0.116582944,0.091295035,0.019871868,0.051997255,0.092815501,0.158803438,0.282338506,0.695789806,0.100528259,0.533768891,0.634269028,0.701852907,0.763119075,0.846915652
319,FJ,Oct-22,0.050790215,0.034850416,0.009873437,0.023911872,0.043405222,0.068572508,0.119025286,0.045850781,0.030857634,0.009566677,0.02295016,0.038698529,0.062163699,0.106362647,0.077944321,0.068767062,0.012268276,0.031864715,0.059618467,0.102986954,0.204141798,0.825414684,0.081008511,0.690956987,0.781809634,0.83690541,0.88160489,0.929905718
320,WS,Oct-22,0.073330449,0.048365752,0.013466303,0.036443069,0.06415837,0.098589927,0.168567306,0.058779591,0.038072452,0.012462777,0.02973636,0.050954771,0.079210602,0.13023663,0.10059681,0.082571586,0.015832749,0.042570644,0.079018239,0.136033089,0.253375686,0.76729315,0.092851713,0.607795133,0.716740513,0.774919216,0.830622515,0.900422101
321,BD,Oct-22,0.038413437,0.026986746,0.007586372,0.018636368,0.03222129,0.051397733,0.091325725,0.0360293,0.024888926,0.007248144,0.017609445,0.030301052,0.04809356,0.084943973,0.057328571,0.058586064,0.00829916,0.023066632,0.042382528,0.072923317,0.152622333,0.868228691,0.068679131,0.757336478,0.836385669,0.87692059,0.912916266,0.950847728
322,XXHK,Oct-22,0.026452783,0.0189406,0.004995201,0.01271692,0.02186461,0.035206031,0.063416959,0.024637058,0.017119154,0.005026043,0.012108209,0.020605614,0.032727185,0.059181591,0.037304926,0.051552829,0.005703839,0.01543926,0.027507787,0.045808942,0.094530261,0.911605233,0.059010341,0.838609348,0.891056902,0.919319422,0.943107842,0.967247918
323,MP,Oct-22,0.052583616,0.037080849,0.010119192,0.025236069,0.043450346,0.071249941,0.123607832,0.041193909,0.027187635,0.008700512,0.020833652,0.035114809,0.055666678,0.092251202,0.063174662,0.052975008,0.010541651,0.026662751,0.049618674,0.08284536,0.167821203,0.843047813,0.067574949,0.72686559,0.802698191,0.850186719,0.890730333,0.93934014
324,SDP,Oct-22,0.035114331,0.025228516,0.006822511,0.016566854,0.02898708,0.046769597,0.084852034,0.033363795,0.023369232,0.006484774,0.015952793,0.027833168,0.044421095,0.080075026,0.054336522,0.058139647,0.00832062,0.022522016,0.040033729,0.069373127,0.141799062,0.877185352,0.068101413,0.773532887,0.848162316,0.886885237,0.919233808,0.955594957
325,SZT1,May-19,0.017230154,0.012486729,0.003513991,0.008215583,0.014015658,0.02274293,0.042480819,0.016738583,0.012178853,0.003465864,0.008144369,0.013802909,0.022129364,0.039261869,0.022815286,0.018401251,0.003923167,0.009908534,0.018156988,0.030189503,0.058849367,0.943215977,0.02671137,0.892349228,0.928875136,0.947248773,0.962589039,0.979037171
326,SZT2,May-19,0.02906436,0.020700383,0.005982219,0.01390153,0.023906467,0.03832928,0.071444837,0.028893782,0.020170383,0.005934565,0.014066431,0.024018694,0.038406463,0.068167212,0.050189365,0.073486265,0.007098833,0.018837865,0.035129503,0.05996287,0.125133786,0.891852492,0.080159469,0.807052892,0.869634514,0.904848494,0.932204813,0.961545445
327,SZT3,May-19,0.028643527,0.020549415,0.005584705,0.013465099,0.023521176,0.038029945,0.069893491,0.03013032,0.021382556,0.005900719,0.014541063,0.025059267,0.040230986,0.072436298,0.070458998,0.145362288,0.00725887,0.018757967,0.034679031,0.062166549,0.166489105,0.870767155,0.14952465,0.76252412,0.864911934,0.902882312,0.93178837,0.961226523
328,SZT1,Sep-19,0.034644968,0.024672985,0.006399049,0.016690985,0.028272797,0.046799739,0.084216296,0.031177096,0.022117244,0.006119177,0.014806599,0.02556852,0.042340154,0.073755531,0.04575995,0.035676892,0.008024992,0.020128575,0.036454849,0.061578404,0.116324414,0.888417986,0.04943637,0.796955725,0.85918556,0.894259655,0.924194361,0.957987206
329,SZT2,Sep-19,0.045658653,0.032370266,0.008839686,0.021620871,0.037459462,0.061546032,0.111627502,0.036279762,0.024589247,0.007459098,0.01806354,0.031182844,0.048522264,0.085203729,0.056380918,0.044427675,0.009716993,0.02470039,0.04469854,0.075918331,0.141800036,0.861680667,0.059453284,0.756054762,0.824794575,0.867710189,0.905031912,0.947343541
330,SZT3,Sep-19,0.029987941,0.021386431,0.005752275,0.014199488,0.024813471,0.039806818,0.072600932,0.02531382,0.017550644,0.004973327,0.01222058,0.021296199,0.033970511,0.059762207,0.035721215,0.02804406,0.006172301,0.015529283,0.027630637,0.049104701,0.092443169,0.908977024,0.040273695,0.836105949,0.884343996,0.913703944,0.938941496,0.965598414
331,SZT1,Dec-19,0.092089361,0.06325465,0.015453449,0.042756769,0.078206559,0.128258041,0.215171039,0.048480233,0.033296096,0.00936408,0.023391798,0.041258082,0.065575581,0.113467527,0.061570605,0.044996316,0.010985905,0.029046233,0.05052431,0.082571739,0.146921917,0.797859801,0.075823173,0.668566791,0.744417968,0.799209822,0.854210653,0.918292687
332,SZT2,Dec-19,0.102522598,0.067903812,0.01824809,0.049110661,0.087642568,0.143269882,0.234065517,0.050189346,0.034050198,0.01026479,0.024894145,0.04220668,0.067609361,0.119175665,0.062478677,0.045917251,0.011938968,0.028780383,0.051526043,0.082871457,0.155762548,0.784809378,0.078459276,0.648473987,0.731027282,0.788613249,0.841582391,0.907655935
333,SZT3,Dec-19,0.164134792,0.093302254,0.0310497,0.088762137,0.154914991,0.228355203,0.327460262,0.059653227,0.040225185,0.012929211,0.030137041,0.049715629,0.080050355,0.136120728,0.06968702,0.049305082,0.013125347,0.033619855,0.057800415,0.093807879,0.167078439,0.706524961,0.093024857,0.55741532,0.640433269,0.703694231,0.770849268,0.863229611
