ID,Sampling site,Sampling time,C3mean,C3sd,C35,C325,C350,C375,C395,C4mean,C4sd,C45,C425,C450,C475,C495,Soilmean,Soilsd,Soil5,Soil25,Soil50,Soil75,Soil95,Planktonmean,Planktonsd,Plankton5,Plankton25,Plankton50,Plankton75,Plankton95
200,ZG,Jul-19,0.045493095,0.032118051,0.008372872,0.021417395,0.037963087,0.061883085,0.108455278,0.039233707,0.027018864,0.008220186,0.019291039,0.032737361,0.052712641,0.091689778,0.063492083,0.054919589,0.00961092,0.026187585,0.049355145,0.083411728,0.162110661,0.851781114,0.066918144,0.734887578,0.815540289,0.8596746,0.89804859,0.943279196
201,BX,Jul-19,0.030920353,0.021969947,0.005925454,0.014868342,0.025430518,0.042233683,0.074959698,0.030029655,0.021298974,0.005977854,0.014434278,0.024757631,0.040753182,0.070028159,0.046915811,0.056085699,0.007807441,0.019104299,0.035034643,0.059940445,0.117144223,0.892134181,0.064403445,0.805791174,0.865579325,0.90094594,0.929813819,0.958951044
202,L2,Dec-19,0.163552919,0.089261758,0.036817707,0.092273457,0.153437328,0.220873485,0.324698092,0.115455314,0.068484305,0.027326107,0.063148318,0.104274024,0.15444915,0.245882842,0.218326264,0.157369038,0.037837028,0.10010194,0.177995582,0.297384892,0.533288754,0.502665504,0.141118278,0.2326209,0.426999434,0.521471925,0.595287304,0.699341902
203,L1,Dec-19,0.114613177,0.067640541,0.025742251,0.061338933,0.104674167,0.155957051,0.244304556,0.095014172,0.05726317,0.020573529,0.05076718,0.084932359,0.130478052,0.204644596,0.18883961,0.145323366,0.028966277,0.081848105,0.151888773,0.259438147,0.474242419,0.601533041,0.139526476,0.336666685,0.534117594,0.61823892,0.694848683,0.791465234
204,B7,Dec-19,0.158327361,0.085810732,0.035676592,0.09011469,0.14965104,0.216946215,0.310506592,0.095301805,0.059751804,0.02061523,0.04956565,0.083660139,0.128823085,0.211877179,0.168836586,0.12911149,0.02911203,0.074832912,0.136644616,0.227340918,0.420038536,0.577534249,0.125076668,0.362150557,0.51314654,0.58703888,0.657711408,0.762308851
205,B6,Dec-19,0.089604571,0.056481607,0.018146968,0.045816258,0.079295094,0.122389477,0.198247931,0.074723908,0.046635276,0.016956513,0.039094709,0.065566926,0.100839268,0.164292227,0.140673615,0.117800002,0.022352034,0.059538461,0.106752225,0.187012046,0.363590074,0.694997905,0.119488494,0.496509136,0.63637553,0.705930041,0.773332126,0.858160715
206,B5,Dec-19,0.119440495,0.071328842,0.024697201,0.062352029,0.109170447,0.164151,0.254902556,0.08607932,0.053649704,0.018536236,0.044910702,0.075574153,0.116815793,0.187907743,0.14955031,0.114597761,0.023415973,0.066595194,0.121244487,0.199234504,0.373478423,0.644929875,0.115416609,0.44911648,0.578541672,0.654504569,0.720410876,0.81312436
207,B4,Dec-19,0.167917301,0.090764249,0.036086157,0.097454887,0.160648497,0.228372769,0.330492196,0.095173622,0.059131093,0.021364768,0.049563531,0.083807017,0.128234065,0.209712134,0.155998815,0.119663985,0.026386102,0.071641718,0.128052148,0.206476773,0.386390015,0.580910262,0.11804364,0.384962154,0.512323963,0.588148664,0.65834833,0.760737904
208,B3,Dec-19,0.089337093,0.056279708,0.016960369,0.045572859,0.077907429,0.122410819,0.200004496,0.072341286,0.045608733,0.016705549,0.038028171,0.062153882,0.097660955,0.157602357,0.135022085,0.112209538,0.020424083,0.055364475,0.104422496,0.181714722,0.348838442,0.703299536,0.117856687,0.494444916,0.643531512,0.714556252,0.784122893,0.865130405
209,B2,Dec-19,0.170638498,0.090377209,0.039157666,0.100672342,0.159826106,0.232120813,0.332290875,0.092388747,0.056941753,0.020193257,0.048923467,0.081484351,0.124660061,0.201791806,0.145759591,0.111718162,0.025400788,0.065874031,0.118489421,0.193476826,0.364465585,0.591213164,0.115344197,0.405192121,0.527554877,0.596142767,0.664754647,0.767391783
210,B1,Dec-19,0.13599651,0.079712697,0.028118946,0.074709456,0.12278395,0.18979375,0.282239621,0.086546609,0.055128509,0.01886549,0.044668375,0.075853613,0.116237635,0.194784816,0.146720462,0.115679808,0.02504686,0.065044244,0.118307515,0.193652319,0.358489082,0.630736419,0.118710374,0.436077814,0.565989575,0.640701937,0.70639226,0.80590684
211,X1,Dec-19,0.044637738,0.030418114,0.008828459,0.021841575,0.038043462,0.06039361,0.104923922,0.04694478,0.031381276,0.009443132,0.023535992,0.040002626,0.063317073,0.108033846,0.098233948,0.120399724,0.011847126,0.033268231,0.064319453,0.114763309,0.284975763,0.810183533,0.125341439,0.627347165,0.776790505,0.834323422,0.880888902,0.93346006
212,ZT,Nov-19,0.038006848,0.026978109,0.008312951,0.018506481,0.031355294,0.050804739,0.090009337,0.042336094,0.029674918,0.008525075,0.020073085,0.034809968,0.057706873,0.100676224,0.236086763,0.308258197,0.011606627,0.033707027,0.070727657,0.305683319,0.871572197,0.683570296,0.313929758,0.044298249,0.624173871,0.835742015,0.892074416,0.941086676
213,MD,Nov-19,0.053125738,0.035629088,0.010820084,0.02618677,0.045489236,0.072572407,0.119836072,0.05594513,0.036684602,0.011354067,0.028715318,0.048098754,0.075797334,0.126470683,0.1239352,0.135168191,0.015051375,0.043060611,0.083072468,0.148933547,0.377280272,0.766993932,0.138711881,0.525592466,0.726697873,0.795215105,0.848815725,0.915623451
