13C,N_C
-28.56378746,0.133076054
-28.62431243,0.131855594
-27.1428669,0.136359316
-25.70178428,0.130992373
-26.25571383,0.14188241
-26.0862967,0.141954895
-27.15437544,0.120236133
-26.22949997,0.128341128
-24.64503558,0.119900438
-24.53471886,0.128122059
-26.67080916,0.07936162
-25.75532306,0.079161516
-26.09245037,0.077191223
-25.74976973,0.12582463
-26.00567976,0.105576426
-25.27141048,0.111747342
-25.19128902,0.125997682
-25.8408317,0.121023114
-25.15100955,0.134243756
-26.04210639,0.135693748
-29.18151602,0.141954895
-35.2948856,0.14510009
-26.37019661,0.140274423
-26.30198977,0.125722245
-26.45188685,0.121020266
-25.90413132,0.11043463
-26.6806146,0.106835997
-26.21311909,0.110711267
-26.29557552,0.102767232
-26.13993099,0.112173666
-26.26802867,0.12787158
-26.71379354,0.10719338
-26.42632195,0.127425034
-26.19085701,0.12483974
-26.28699968,0.131860103
-25.62245751,0.132328965
-26.08909925,0.161786574
-26.37372441,0.141608312
-25.97475938,0.119842156
-25.5573056,0.120016736
-25.62511253,0.116236379
-25.83668664,0.112019593
-25.92153765,0.109951513
-26.43221176,0.129851278
-26.74190064,0.129120113
-26.46415255,0.140593337
-26.95701231,0.135552818
-26.22022964,0.145446713
-26.22118398,0.127655882
-26.39461365,0.156382212
-25.25210481,0.16994488
-25.88776177,0.138667548
-25.30400065,0.159397327
-26.1672986,0.178475712
-26.83805262,0.13814643
-25.84011414,0.131921168
-26.15144097,0.098237485
-25.97338958,0.135446144
-25.8462423,0.164244493
-26.47042861,0.129122049
-26.76039178,0.111988388
-26.50085717,0.14573738
-26.7567665,0.121298519
-26.49269933,0.113862412
-26.12640156,0.109610475
-26.99386956,0.235365171
-28.50824011,0.214734379
-27.21898572,0.375322488
-27.02507403,0.364153712
-26.31681347,0.280632104
-28.73242579,0.325028126
-27.70664084,0.333809417
-30.93419146,0.277369522
-26.91983337,0.231320934
-26.10630111,0.158298663
-26.64006195,0.362394355
-25.33962123,0.174591602
-27.03565451,0.239364297
-27.70646204,0.268190767
-29.64016881,0.263735071
-28.97062359,0.31431067
-29.21814146,0.611574829
-28.60295477,0.246617227
-27.52168091,0.402869042
-29.27089352,0.194810011
-27.83156421,0.353493534
-28.48084953,0.267813477
-27.58200334,0.195419452
-27.42821808,0.233077167
-27.85534915,0.300674543
-28.40113591,0.251239257
-28.18148079,0.235591795
-29.13457065,0.1955041
-27.98539726,0.22090333
-25.71715646,0.222167514
-26.6113226,0.247058621
-26.40235854,0.328881243
-25.9083396,0.242745034
-26.15963246,0.205733416
-26.93288265,0.260790714
-27.00725583,0.261237552
-27.60021865,0.24592169
-26.30653191,0.242055396
-25.5231619,0.196172042
-23.06205029,0.20680329
-25.56871075,0.184501129
-25.97063698,0.185356403
-25.14928953,0.217821458
-25.79844887,0.17654228
-26.2070239,0.165156384
-25.74289094,0.26581414
-24.70622126,0.315840654
-24.76805528,0.301821919
-25.72032299,0.131865458
-25.9578518,0.14753795
-26.96728328,0.136937479
-26.90335666,0.160031276
-27.13484434,0.147943228
-27.46464984,0.135457023
-27.10596156,0.161007353
-27.64598123,0.135309402
-27.58650378,0.14354557
-27.53551613,0.158712716
-28.38764734,0.156696327
-28.89399013,0.190536852
-27.53062991,0.159549689
-28.25360192,0.135652974
-26.0185145,0.157977059
-28.67998116,0.162577149
-26.64678129,0.149229188
-29.49756027,0.193548387
-27.56454376,0.160240847
-26.59310767,0.18428287
-27.2732427,0.114285714
-26.58858671,0.174984404
-27.09253765,0.159002338
-27.09006245,0.178571429
-27.45278177,0.152221254
-27.68842205,0.222428174
-24.3979765,0.133928571
-28.09767373,0.158415842
-28.88131417,0.137992039
-27.60699714,0.165898618
-28.42597882,0.130861505
-28.50635015,0.130363933
-28.20229169,0.15175644
-28.52030196,0.164835165
-26.56381945,0.150036299
-27.45508761,0.224342445
-28.32172069,0.173922555
-27.92335342,0.160017829
-27.74444269,0.169647495
-27.6356062,0.156936813
-28.0613603,0.164098292
-28.84675968,0.199566161
-28.09309355,0.133156146
-26.83878224,0.209842332
-27.99716015,0.204844555
-29.03798204,0.211425942
-29.48972384,0.14573213
-27.01724994,0.488397001
-30.06699453,0.184972589
-28.71468057,0.182627791
-29.28555657,0.196387521
-29.00556412,0.173590003
-29.13669543,0.17955259
-29.42424613,0.161426461
-29.51510288,0.191155856
-28.06466944,0.161117078
-30.81113598,0.173941799
-29.28084172,0.188693659
-28.56100991,0.205714286
-29.82383766,0.223137093
-30.30594582,0.209641751
-29.56886724,0.175308346
-26.85167775,0.145169899
-27.44364212,0.141287284
-27.74871916,0.137218045
-28.0562213,0.169731259
-27.07473794,0.169405815
-27.8284197,0.189379207
-25.96102814,0.172292433
-28.89252262,0.178043179
-28.39602308,0.182744418
-27.82808221,0.184394853
-26.66711736,0.10826689
-27.7188241,0.123083936
-28.97192154,0.176850733
-28.44618915,0.174735875
-28.18365674,0.153535354
-27.52295802,0.149894441
-27.90809947,0.145634064
-27.94037565,0.115956104
-27.8976585,0.125022748
-26.62584263,0.204170557
-27.82563512,0.148307362
-27.59512445,0.151632152
-27.88529219,0.1324222
-27.99084503,0.177727784
-28.09107963,0.134143121
