,POC_PP,PON_PP,ND,RA,HRT,WT,pH,EC,CL,IS,HAI
142,58.327,11.403,8,6,6,23.684,9.01,481.3,37.44535477,0.518301693,0.460098212
143,19.882,2.622,8,13,97,16.87,7.93,383.8,89.12730835,2.462450527,3.381663791
144,22.283,3.288,9,13,97,16.98,7.86,387.9,57.48541818,21.17487609,330.8983026
145,24.962,3.418,9,13,93,18.04,7.83,388.6,60.76520468,3.039979823,21.92873527
146,17.148,2.744,9,13,93,18.4,7.81,371.4,51.18169312,2.55942221,3.550068955
147,50.136,7.417,9,13,88,18.75,7.8,369.3,50.32685233,3.939169291,17.97847639
148,39.992,5.417,9,13,80,19.07,7.75,367.2,45.33299196,1.561019229,9.127421455
149,34.598,5.571,9,13,72,19.16,7.75,364.4,34.96932672,1.034331659,1.760675941
150,30.426,6.292,7,5,47,17.936,8.04,441.6,41.27646511,0.439338992,1.076453841
151,132.026,24.359,8,6,24,17.029,8.02,443.1,23.67495532,0.25081237,0.169402677
152,143.391,26.578,8,6,24,17.937,8.05,440.5,24.85447009,0.444550876,0.246859472
153,154.517,33.657,8,6,25,17.768,8.06,443.6,26.29489177,0.677811082,0.568085703
154,188.153,33.217,8,6,25,17.949,8.05,431.1,24.6754289,0.658441142,0.596358822
155,86.309,14.255,8,6,24,17.561,8.06,425.5,22.80592026,0.284319258,0.210559095
156,32.449,8.625,8,6,24,17.728,8.06,423.8,27.3010527,0.306484322,0.191013815
157,16.463,5.2,8,6,24,17.877,8.06,425.3,37.44535477,0.518301693,0.460098212
158,5.848,0.849,7,1,17.622655,18.37,8.04,339.4,43.49371823,2.64836972,80.46803186
159,0.459,0.065,8,1,17.622655,18.858,8.06,390.4,42.27172213,0.079867321,0.072130965
160,0.552,0.076,8,1,17.622655,20.636,8.01,444,31.46461295,0.098720204,0.0540847
161,0.458,0.078,8,1,17.622655,22.376,8.06,467.7,34.22176252,0.159479069,0.297853172
162,0.88,0.167,9,1,52.058271,20.975,8.04,484.4,24.35062412,2.012679883,0.05349726
163,7.268,1.252,9,1,52.058271,25.774,8.83,423.6,29.81801136,1.478379057,0.062845877
164,1.426,0.254,10,8,13,23.228,8.02,518.3,33.74312294,0.128274209,0.101411075
165,3.411,0.623,10,8,13,24.369,8.36,502.4,42.98974824,0.128019607,0.145252619
166,1.349,0.249,10,8,13,24.665,8.37,498.4,33.55399925,0.396281501,1.223589778
167,1.952,0.211,10,8,5,20.981,8.09,428.3,45.94812861,0.994195326,2.433723696
168,1.863,0.229,11,9,8,21.064,7.96,504.8,27.11605974,0.274761669,0.161739809
169,7.163,1.267,11,9,8,24.098,8.25,486.8,27.09481587,0.700193231,0.588515405
170,3.261,0.57,11,9,8,23.119,8.21,479.9,33.55399925,0.396281501,0.24138022
171,6.791,1.018,11,16,27,23.29,7.84,427.8,88.60936702,2.572637259,3.381663792
172,7.081,1.031,12,16,29,25.696,7.82,413.1,58.70393464,22.11290193,330.8983026
173,15.535,1.801,12,16,25,25.707,7.81,407,61.87496577,3.268973793,21.88070256
174,3.224,0.658,12,16,23,26.329,7.8,400.1,51.86756188,4.589070149,18.31681172
175,22.444,3.329,12,16,26,26.322,7.91,400.1,38.02777431,1.847926608,4.605605961
176,8.536,1.294,12,16,26,25.907,7.84,399.2,33.36432931,1.085156576,1.760675941
177,6.845,0.906,12,16,25,25.721,7.73,384.3,25.22530326,0.307113023,0.443005004
