Sampling	PON_PP	ND	RA	HRT	DSUP	DSDW	RPON	RPP	CL	IS	HAI
111	4.056	9	13	18	127	922.67	-9.887	78.972	34.96932672	1.034331659	1.760675941
112	6.016	9	13	19	4	1045.67	-9.887	78.972	13.3334777	1.213720854	1.995564718
113	2.21	7	5	11	11	631.68	25.465	5.668	37.32910259	0.077702354	0.086531234
114	5.609	7	5	11	4	638.68	25.465	5.668	41.27646511	0.439338992	1.076453841
115	2.122	8	6	6	102	55	19.287	29.144	23.67495532	0.25081237	0.169402677
116	3.232	8	6	6	59	98	19.287	29.144	24.85447009	0.444550876	0.246859472
117	2.538	8	6	7	34	123	19.287	29.144	26.29489177	0.677811082	0.568085703
118	1.624	8	6	7	28	129	19.287	29.144	24.6754289	0.658441142	0.596358822
119	3.108	8	6	7	15	142	19.287	29.144	22.80592026	0.284319258	0.210559095
120	4.601	8	6	6	10	147	19.287	29.144	27.3010527	0.306484322	0.191013815
121	11.403	8	6	6	2	155	19.287	29.144	37.44535477	0.518301693	0.460098212
122	2.622	8	13	97	778	271.67	19.163	69.994	89.12730835	2.462450527	3.381663791
123	3.288	9	13	97	592	444.67	19.163	69.994	57.48541818	21.17487609	330.8983026
124	3.418	9	13	93	493	556.67	19.163	69.994	60.76520468	3.039979823	21.92873527
125	2.744	9	13	93	378	671.67	19.163	69.994	51.18169312	2.55942221	3.550068955
126	7.417	9	13	88	289	760.67	19.163	69.994	50.32685233	3.939169291	17.97847639
127	5.417	9	13	80	230	819.67	19.163	69.994	45.33299196	1.561019229	9.127421455
128	5.571	9	13	72	127	922.67	19.163	69.994	34.96932672	1.034331659	1.760675941
129	6.292	7	5	47	4	638.68	-44.439	67.803	41.27646511	0.439338992	1.076453841
130	24.359	8	6	24	102	55	10.081	-155.772	23.67495532	0.25081237	0.169402677
131	26.578	8	6	24	59	98	10.081	-155.772	24.85447009	0.444550876	0.246859472
132	33.657	8	6	25	34	123	10.081	-155.772	26.29489177	0.677811082	0.568085703
133	33.217	8	6	25	28	129	10.081	-155.772	24.6754289	0.658441142	0.596358822
134	14.255	8	6	24	15	142	10.081	-155.772	22.80592026	0.284319258	0.210559095
135	8.625	8	6	24	10	147	10.081	-155.772	27.3010527	0.306484322	0.191013815
136	5.2	8	6	24	2	155	10.081	-155.772	37.44535477	0.518301693	0.460098212
137	0.849	7	1	17.622655	190.3	87.08	88.648	68.188	43.49371823	2.64836972	80.46803186
138	0.065	8	1	17.622655	108.6	168.78	88.648	68.188	42.27172213	0.079867321	0.072130965
139	0.076	8	1	17.622655	15.9	281.98	88.648	68.188	31.46461295	0.098720204	0.0540847
140	0.078	8	1	17.622655	5	292.88	88.648	68.188	34.22176252	0.159479069	0.297853172
141	0.254	10	8	13	53	142.7	65.291	37.345	33.74312294	0.128274209	0.101411075
142	0.623	10	8	13	23.8	171.9	65.291	37.345	42.98974824	0.128019607	0.145252619
143	0.249	10	8	13	2	193.7	65.291	37.345	33.55399925	0.396281501	1.223589778
144	0.229	11	9	8	102.4	54.6	56.138	-27.703	27.11605974	0.274761669	0.161739809
145	1.267	11	9	8	29.4	127.6	56.138	-27.703	27.09481587	0.700193231	0.588515405
146	0.57	11	9	8	1	156	56.138	-27.703	33.55399925	0.396281501	0.24138022
