Sampling	POC_PP	ND	RA	HRT	DSUP	DSDW	RPOC	RPP	CL	IS	HAI
97	29.716	7	5	17	4	638.68	-16.24	13.333	41.27646511	0.439338992	1.076453841
98	25.874	8	6	10	102	55	-1.128	-13.158	23.67495532	0.25081237	0.169402677
99	83.544	8	6	10	59	98	-1.128	-13.158	24.85447009	0.444550876	0.246859472
100	68.343	8	6	13	34	123	-1.128	-13.158	26.29489177	0.677811082	0.568085703
101	38.648	8	6	12	28	129	-1.128	-13.158	24.6754289	0.658441142	0.596358822
102	32.199	8	6	11	15	142	-1.128	-13.158	22.80592026	0.284319258	0.210559095
103	57.98	8	6	12	10	147	-1.128	-13.158	27.3010527	0.306484322	0.191013815
104	32.545	8	6	12	2	155	-1.128	-13.158	37.44535477	0.518301693	0.460098212
105	4.577	8	13	11	778	271.67	-15.343	78.972	89.12730835	2.462450527	3.381663791
106	3.494	9	13	11	592	444.67	-15.343	78.972	57.48541818	21.17487609	330.8983026
107	4.814	9	13	12	493	556.67	-15.343	78.972	60.76520468	3.039979823	21.92873527
108	12.86	9	13	12	378	671.67	-15.343	78.972	51.18169312	2.55942221	3.550068955
109	22.722	9	13	16	289	760.67	-15.343	78.972	50.32685233	3.939169291	17.97847639
110	23.051	9	13	18	230	819.67	-15.343	78.972	45.33299196	1.561019229	9.127421455
111	15.528	9	13	18	127	922.67	-15.343	78.972	34.96932672	1.034331659	1.760675941
112	24.464	9	13	19	4	1045.67	-15.343	78.972	13.3334777	1.213720854	1.995564718
113	11.346	7	5	11	11	631.68	34.114	5.668	37.32910259	0.077702354	0.086531234
114	15.867	7	5	11	4	638.68	34.114	5.668	41.27646511	0.439338992	1.076453841
115	7.925	8	6	6	102	55	14.618	29.144	23.67495532	0.25081237	0.169402677
116	16.539	8	6	6	59	98	14.618	29.144	24.85447009	0.444550876	0.246859472
117	10.887	8	6	7	34	123	14.618	29.144	26.29489177	0.677811082	0.568085703
118	5.401	8	6	7	28	129	14.618	29.144	24.6754289	0.658441142	0.596358822
119	12.373	8	6	7	15	142	14.618	29.144	22.80592026	0.284319258	0.210559095
120	19.529	8	6	6	10	147	14.618	29.144	27.3010527	0.306484322	0.191013815
121	58.327	8	6	6	2	155	14.618	29.144	37.44535477	0.518301693	0.460098212
122	19.882	8	13	97	778	271.67	25.74	69.994	89.12730835	2.462450527	3.381663791
123	22.283	9	13	97	592	444.67	25.74	69.994	57.48541818	21.17487609	330.8983026
124	24.962	9	13	93	493	556.67	25.74	69.994	60.76520468	3.039979823	21.92873527
125	17.148	9	13	93	378	671.67	25.74	69.994	51.18169312	2.55942221	3.550068955
126	50.136	9	13	88	289	760.67	25.74	69.994	50.32685233	3.939169291	17.97847639
127	39.992	9	13	80	230	819.67	25.74	69.994	45.33299196	1.561019229	9.127421455
